Date,Open,High,Low,Close,BuyWeightingRule,SellWeightingRule,P2L_Ratio,P2L_RatioPositive,P2L_RatioNegative,P2L_RatioNeutral,RangeVariance
2018-05-02,-0.008641,1.399574,-0.043726,1.235273,1.000000,0.000000,2.047542,2.047542,0.000000,0.000000,3.989756
2018-05-03,-0.177464,-0.027296,-0.913819,-0.748165,3.000000,0.000000,1.997597,1.997597,0.000000,0.000000,4.003219
2018-05-04,0.311700,0.937483,0.128257,0.937483,1.000000,0.000000,0.605169,0.605169,0.000000,1.000000,4.020174
2018-05-07,0.055810,1.008201,-0.043121,0.916182,0.000000,0.000000,-0.059519,0.000000,0.059519,1.000000,4.027992
2018-05-08,-0.174946,-0.105877,-0.680855,-0.262901,0.000000,0.000000,-0.195155,0.000000,0.195155,1.000000,4.062872
2018-05-09,0.042530,0.381377,-0.165485,0.233859,0.000000,0.000000,-0.663969,0.000000,0.663969,1.000000,4.108367
2018-05-10,0.246076,0.700273,-0.111781,0.613154,0.000000,0.000000,-1.227499,0.000000,1.227499,0.000000,4.136390
2018-05-11,0.001038,0.083369,-0.470577,-0.172898,0.000000,0.000000,-0.938544,0.000000,0.938544,0.000000,4.183538
2018-05-14,0.069341,0.111878,-0.597357,-0.189946,0.000000,0.000000,-0.581475,0.000000,0.581475,1.000000,4.220704
2018-05-15,-0.242360,0.233311,-0.484227,-0.062504,0.000000,0.000000,-0.976445,0.000000,0.976445,0.000000,4.257669
2018-05-16,0.116876,0.527628,-0.082636,0.228449,0.000000,0.000000,-1.106905,0.000000,1.106905,0.000000,4.304560
2018-05-17,-0.095541,1.010009,-0.123288,1.009842,0.000000,1.000000,-3.471459,0.000000,3.471459,0.000000,4.315773
2018-05-18,0.008627,0.157216,-0.537144,-0.312152,0.000000,10.000000,-10.686087,0.000000,10.686087,0.000000,4.355909
2018-05-22,0.454806,1.049854,-0.132281,0.764649,0.000000,1.000000,-2.663423,0.000000,2.663423,0.000000,4.133170
2018-05-23,-0.245786,-0.172898,-1.897517,-1.526428,0.000000,0.000000,-0.336665,0.000000,0.336665,1.000000,4.084661
2018-05-24,-0.162731,0.230481,-1.362768,-0.947992,0.000000,0.000000,-0.513365,0.000000,0.513365,1.000000,4.543260
2018-05-25,0.500420,1.188386,-0.023545,0.668618,0.000000,0.000000,-1.105793,0.000000,1.105793,0.000000,4.545115
2018-05-28,0.610390,0.797533,-0.852945,-0.579379,0.000000,0.000000,0.154141,0.154141,0.000000,1.000000,5.821665
2018-05-29,-0.572461,-0.445545,-1.886441,-1.458373,0.000000,0.000000,-0.081156,0.000000,0.081156,1.000000,6.269838
2018-05-30,0.194198,0.848974,-0.022733,0.848974,0.000000,0.000000,-0.215834,0.000000,0.215834,1.000000,6.707273
2018-05-31,0.088701,0.141917,-1.689203,-1.279478,0.000000,0.000000,-0.204511,0.000000,0.204511,1.000000,6.751774
2018-06-01,0.512716,1.370130,0.391648,0.836396,0.000000,0.000000,-0.723244,0.000000,0.723244,0.000000,6.719648
2018-06-04,0.806122,0.853853,-0.071668,0.325333,0.000000,0.000000,-0.713483,0.000000,0.713483,0.000000,6.742058
2018-06-05,-0.031853,1.072161,-0.121104,0.113676,0.000000,0.000000,-0.770913,0.000000,0.770913,0.000000,6.730236
2018-06-06,0.179097,0.584972,-0.394885,0.292862,0.000000,0.000000,-1.023251,0.000000,1.023251,0.000000,6.742727
2018-06-07,0.316982,0.562451,-0.461284,-0.126188,0.000000,0.000000,-0.164912,0.000000,0.164912,1.000000,6.745914
2018-06-08,-0.915189,-0.099123,-1.288841,-0.286237,0.000000,0.000000,-0.835224,0.000000,0.835224,0.000000,6.709892
2018-06-11,0.315973,0.605659,-0.094529,0.484782,0.000000,0.000000,-1.329219,0.000000,1.329219,0.000000,6.751148
2018-06-12,0.507812,0.661115,-0.168017,-0.003821,0.000000,0.000000,-1.023254,0.000000,1.023254,0.000000,6.772943
2018-06-13,0.091978,0.392230,-0.377989,0.298831,0.000000,0.000000,-0.936799,0.000000,0.936799,0.000000,6.801386
2018-06-14,-0.483416,1.403687,-0.514363,1.238543,0.000000,10.000000,-11.344380,0.000000,11.344380,0.000000,6.649758
2018-06-15,0.049672,0.357354,-0.548147,-0.548092,0.000000,10.000000,-11.120932,0.000000,11.120932,0.000000,5.482547
2018-06-18,-0.354607,-0.150689,-1.232948,-0.962274,0.000000,0.000000,-1.787349,0.000000,1.787349,0.000000,4.059258
2018-06-19,-0.993785,-0.666280,-1.273050,-0.829609,0.000000,10.000000,-10.880123,0.000000,10.880123,0.000000,4.020413
2018-06-20,0.297158,0.455117,-0.039791,0.095143,0.000000,0.000000,-1.190495,0.000000,1.190495,0.000000,4.173131
2018-06-21,0.024893,0.132898,-1.215609,-1.002614,0.000000,0.000000,-0.460791,0.000000,0.460791,1.000000,4.129785
2018-06-22,-0.023289,0.376866,-0.142557,0.376866,0.000000,0.000000,0.327797,0.327797,0.000000,1.000000,4.165425
2018-06-25,-0.445063,-0.329200,-1.674356,-1.674356,3.000000,0.000000,1.340575,1.340575,0.000000,0.000000,4.090928
2018-06-26,0.349814,0.474085,-0.453575,-0.199490,3.000000,0.000000,2.455284,2.455284,0.000000,0.000000,4.089702
2018-06-27,0.070526,1.081130,-0.575721,0.600969,1.000000,0.000000,2.223942,2.223942,0.000000,0.000000,4.016596
2018-06-28,-0.308031,0.140182,-1.279256,-0.897783,3.000000,0.000000,1.044006,1.044006,0.000000,0.000000,4.088153
2018-06-29,0.759728,1.074418,0.437206,0.672790,3.000000,0.000000,11.127417,11.127417,0.000000,0.000000,4.417395
2018-07-02,-0.817061,-0.021041,-0.895742,-0.350636,3.000000,0.000000,10.860354,10.860354,0.000000,0.000000,3.563025
2018-07-03,0.426551,0.977460,0.206944,0.570978,3.000000,0.000000,10.851820,10.851820,0.000000,0.000000,3.518979
2018-07-04,-0.133298,0.008085,-0.339051,-0.165532,3.000000,0.000000,10.731996,10.731996,0.000000,0.000000,3.105436
2018-07-05,0.235801,1.032159,0.229629,0.761172,2.000000,0.000000,2.468708,2.468708,0.000000,0.000000,2.878708
2018-07-06,0.224768,0.234462,-0.202870,0.170693,2.000000,0.000000,1.339637,1.339637,0.000000,0.000000,2.908875
2018-07-09,0.246684,0.345365,-0.031232,0.258319,2.000000,0.000000,0.798939,0.798939,0.000000,0.000000,2.943348
2018-07-10,0.198405,0.522438,-0.071799,0.359331,1.000000,0.000000,3.110899,3.110899,0.000000,0.000000,2.963654
2018-07-11,-0.547385,-0.506090,-1.124897,-1.025594,2.000000,0.000000,10.556048,10.556048,0.000000,0.000000,2.885676
2018-07-12,0.266686,0.500475,-0.048303,0.430973,2.000000,0.000000,2.492878,2.492878,0.000000,0.000000,2.539551
2018-07-13,0.326076,0.526376,0.036688,0.276811,2.000000,0.000000,2.106234,2.106234,0.000000,0.000000,3.048162
2018-07-16,-0.058700,0.382363,-0.203135,0.122151,1.000000,0.000000,0.275242,0.275242,0.000000,1.000000,3.488893
2018-07-17,0.036630,0.784783,-0.239902,0.618815,0.000000,0.000000,-1.368640,0.000000,1.368640,0.000000,3.661849
2018-07-18,0.408142,0.716672,0.329464,0.637208,0.000000,0.000000,-1.289596,0.000000,1.289596,0.000000,4.765889
2018-07-19,-0.161004,-0.041560,-0.685618,-0.507665,0.000000,0.000000,-0.408773,0.000000,0.408773,1.000000,4.797638
2018-07-20,-0.133097,0.125235,-1.321170,-0.760988,0.000000,0.000000,0.020160,0.020160,0.000000,1.000000,4.751438
2018-07-23,-0.335868,0.024278,-0.473001,-0.084310,0.000000,0.000000,-0.551397,0.000000,0.551397,1.000000,4.802342
2018-07-24,0.273486,1.338930,0.241875,0.912182,0.000000,0.000000,-0.715210,0.000000,0.715210,0.000000,4.774120
2018-07-25,-0.025328,0.039123,-1.032737,-0.751391,0.000000,0.000000,-1.639247,0.000000,1.639247,0.000000,4.776195
2018-07-26,1.056448,1.708894,0.840959,1.581752,0.000000,10.000000,-10.997097,0.000000,10.997097,0.000000,4.724383
2018-07-27,0.118894,0.558498,0.042389,0.368279,0.000000,10.000000,-10.982313,0.000000,10.982313,0.000000,4.610672
2018-07-30,-0.281359,-0.085840,-0.466305,-0.466305,0.000000,10.000000,-10.926783,0.000000,10.926783,0.000000,4.667846
2018-07-31,0.088818,0.480183,-0.449247,0.056183,0.000000,10.000000,-10.913438,0.000000,10.913438,0.000000,4.516008
2018-08-01,0.159446,0.207657,-0.745781,-0.514812,0.000000,0.000000,-1.347812,0.000000,1.347812,0.000000,3.931950
2018-08-02,-0.883225,-0.868657,-1.803502,-1.410556,0.000000,0.000000,-1.508777,0.000000,1.508777,0.000000,3.889033
2018-08-03,0.193188,0.721799,0.112398,0.510383,0.000000,0.000000,-1.790525,0.000000,1.790525,0.000000,3.918973
2018-08-06,0.110591,0.707221,-0.547349,-0.124090,0.000000,10.000000,-10.703789,0.000000,10.703789,0.000000,3.909171
2018-08-07,0.410241,0.981333,0.335341,0.349539,0.000000,10.000000,-10.602180,0.000000,10.602180,0.000000,3.702687
